subject,unit,type,question,passage,choices,answer,altAnswers,explanation
kokugo,漢字（読み）,choice,「複雑」の読み方は？,,ふくざつ|ふくぞう|ふくさつ|ふくさい,0,,複雑（ふくざつ）。「複」は「ふく」、「雑」は「ざつ」と読みます。
kokugo,漢字（読み）,choice,「遺産」の読み方は？,,いさん|ゆいさん|ゆいざん|いざん,0,,遺産（いさん）。「遺」は「のこす」という意味で「い」と読みます。
kokugo,漢字（読み）,choice,「憂鬱」の読み方は？,,ゆううつ|ゆうわつ|ゆうきつ|きゅううつ,0,,憂鬱（ゆううつ）。気持ちがふさぎこむようすを表します。書くのが難しい漢字の代表例です。
kokugo,漢字（読み）,choice,「矛盾」の読み方は？,,むじゅん|もじゅん|むずかん|むじかん,0,,矛盾（むじゅん）。つじつまが合わないことを指します。中国の故事から来た言葉です。
kokugo,漢字（読み）,choice,「美術」の読み方は？,,びじゅつ|うつくしい|けいじゅつ|びじょ,0,,美術（びじゅつ）は絵画・彫刻など視覚芸術の総称です。
kokugo,漢字（読み）,choice,「功績」の読み方は？,,こうせき|きょうせき|こうさく|くんせき,0,,功績（こうせき）。立派な仕事の結果・てがらのことです。
kokugo,漢字（読み）,choice,「存在」の読み方は？,,そんざい|そんじゃい|ぞんざい|ぞんざ,0,,存在（そんざい）。「存」は「そん・ぞん」どちらも読みますが、この熟語では「そん」です。
kokugo,漢字（読み）,choice,「奮闘」の読み方は？,,ふんとう|ふんどう|ぶんとう|ぶんどう,0,,奮闘（ふんとう）。力のかぎりがんばることです。「奮」は「ふん」と読みます。
kokugo,漢字（読み）,choice,「誠実」の読み方は？,,せいじつ|じょうじつ|せいじ|まことじつ,0,,誠実（せいじつ）。うそのない真面目な様子です。
kokugo,漢字（読み）,choice,「暖昧」の読み方は？,,あいまい|だんまい|あんまい|ゆるやか,0,,曖昧（あいまい）。はっきりしない様子を表します。※よく間違える難読語です。
kokugo,漢字（書き）,fill,「かんしゃ」を漢字で書くと？,,,感謝,,「感」＋「謝」。感謝の気持ちを表す大切な漢字です。
kokugo,漢字（書き）,fill,「きょうそう」を漢字で書くと？,,,競争,,「競」は「たがいに張り合う」、「争」は「あらそう」。
kokugo,漢字（書き）,fill,「ぼうけん」を漢字で書くと？,,,冒険,,「冒」は「おかす」、「険」は「けわしい」。危険をおかして進むこと。
